TL_r3_4 4-th Conditioner Data  
Theta, R, Z, 
0.0,4.27435864481e-15,0.0,
0.125,0.000197090606458,1.81419442606e-05,
0.25,0.00130148627342,0.000952451503221,
0.375,-7.24171591651e-05,0.000303486537435,
0.5,3.95896975647e-07,5.51333660526e-06,
0.625,0.00561990123909,-0.0418789158581,
0.75,0.00167672286597,-0.0280108377562,
0.875,-0.0130345507502,0.00408921067135,
1.0,0.00140398030968,0.015021270699,
1.125,0.00726574701266,0.00583762809546,
1.25,0.00562267450499,-0.00444133835986,
1.375,0.0228526601052,0.000197338288117,
1.5,0.0300860884946,0.00520726238997,
1.625,0.00470760835949,0.00653563533954,
1.75,-0.0086327456601,0.0147989603532,
1.875,-0.0203309599562,0.00702100968567,
2.0,-0.0250024920388,0.010567707724,
2.125,-0.00421696775525,0.00718779981087,
2.25,0.0170742029438,0.00611289689836,
2.375,0.0359750068642,0.00962043542593,
2.5,0.0134926660488,0.0118925310571,
2.625,0.00756863007538,0.0120431783466,
2.75,-0.00985603372429,0.0101284686746,
2.875,-0.0199383618257,0.00819703126893,
3.0,-0.0152181093964,0.0115059286292,
3.125,-0.0034134509104,0.00641268366921,
3.25,0.0212810579745,0.0150576919541,
3.375,0.0357460884114,0.0270375878918,
3.5,0.0133442710902,0.0217389687267,
3.625,-0.00411417605593,0.0119149187116,
3.75,-0.0046872525249,0.00803446562567,
3.875,-0.00555990537111,-0.00103754427575,
4.0,-0.0109835360943,0.0044135714241,
4.125,-0.0111115508573,0.00984980796214,
4.25,0.0163787845612,0.0437834526447,
4.375,-0.00563425597869,0.0704699066943,
4.5,-0.00213923683582,0.00313476976245,
4.625,-0.00372569937382,0.00551127275379,
4.75,0.00792992905978,-0.0109035311615,
4.875,0.010917187645,-0.0151771120692,
4.96439293256,-0.000424154761133,0.000162684877367,
