TL_r3_5 5-th Conditioner Data  
Theta, R, Z, 
0.0,4.27435864481e-15,0.0,
0.125,0.000196693161913,1.85458318098e-05,
0.25,0.0013019709972,0.000952493875625,
0.375,-7.33102950414e-05,0.000304401794709,
0.5,1.20415146654e-06,4.80322391128e-06,
0.625,0.00562168781786,-0.0418875161316,
0.75,0.00167088478778,-0.028005017133,
0.875,-0.0130224696493,0.00408486852185,
1.0,0.0013948086029,0.0150225202496,
1.125,0.00726727422954,0.00583639809511,
1.25,0.00562268367614,-0.0044414647768,
1.375,0.0228500364716,0.000198027295162,
1.5,0.0300889378248,0.00520831143934,
1.625,0.00470798539138,0.00653480399949,
1.75,-0.00863689273037,0.0148020666847,
1.875,-0.0203228275232,0.0070168476236,
2.0,-0.0250099282323,0.0105702499512,
2.125,-0.00421103216917,0.00718670620895,
2.25,0.0170684953338,0.00611357745937,
2.375,0.0359783530377,0.00962090310073,
2.5,0.0134922144997,0.0118924104147,
2.625,0.00756857674628,0.0120433287882,
2.75,-0.00985568768831,0.0101290052033,
2.875,-0.0199435023395,0.00819645419707,
3.0,-0.0152127141142,0.0115078800626,
3.125,-0.0034195649301,0.0064097257672,
3.25,0.0212827468402,0.0150579305766,
3.375,0.0357489406102,0.0270375132621,
3.5,0.0133422288445,0.0217385126375,
3.625,-0.00411329303848,0.0119150385052,
3.75,-0.004685496356,0.00803712531458,
3.875,-0.0055632046186,-0.00104136988291,
4.0,-0.0109799821775,0.00441592379395,
4.125,-0.011119436002,0.00984571848253,
4.25,0.0163864523925,0.043785255337,
4.375,-0.00563715379276,0.0704701718471,
4.5,-0.00213979012727,0.00313426725236,
4.625,-0.0037273944645,0.00551124707722,
4.75,0.00793051816961,-0.0109030407302,
4.875,0.0109160129952,-0.0151779343841,
4.96419089528,-0.000424340089842,0.00016257104717,
