Radius,Theta(Turn),Z,
54.2,0.0,0.0
54.3300003976,0.125,3.75000059582
54.3300005094,0.25,7.49999995709
53.9499994832,0.375,9.39000008414
54.1900001917,0.5,9.80999971008
55.1399994922,0.625,9.18999991438
56.7800000989,0.75,13.9699999154
59.5800001253,0.875,24.330000577
65.1000005537,1.0,34.9300006373
72.719999818,1.125,43.6799992564
81.0499999908,1.25,51.6300001137
89.5699998395,1.375,62.2100003127
92.0900001035,1.5,75.8999999295
86.4400004222,1.625,90.4199996995
76.0199993148,1.75,103.939999795
68.0900000602,1.875,114.910000287
65.7100006574,2.0,124.699999382
70.669999553,2.125,134.080000127
80.8499998704,2.25,144.200000307
91.0600001737,2.375,155.890000645
94.0200004753,2.5,168.569999128
87.5300000547,2.625,180.749999846
76.7299996439,2.75,191.770000461
68.180000993,2.875,201.649999607
65.5699995046,3.0,211.450000008
70.1000006326,3.125,222.330000036
79.2400002491,3.25,235.879999728
87.789999955,3.375,251.43000009
90.3300000716,3.5,265.020000453
86.5799998777,3.625,274.359999804
79.2700001922,3.75,280.380000276
72.0399999723,3.875,286.100000836
66.1000003101,4.0,294.609999576
62.4200004576,4.125,307.850000001
60.5100000125,4.25,324.250000076
57.6200002665,4.375,337.5599998
55.7799995532,4.5,342.929999501
55.2899995904,4.625,341.850000084
56.020000387,4.75,337.150000505
56.1300005185,4.875,333.189999801
55.5800001858,4.96520203724,332.590000113
