Node ID,X,Y,Z,R, Theta(Deg.),Theta(turn.), 
1000001,54.2,0.0,0.0,54.2,0.0,0.0,
1000002,53.3317216982,7.02180937319,0.546323467865,53.7919914687,7.50058610463,0.0208349614018,
1000003,51.9146305321,13.9501322214,1.12384300943,53.7562559362,15.0408195791,0.0417800543863,
1000004,49.8125309707,20.6974965364,1.7360093628,53.9413997277,22.563267079,0.062675741886,
1000005,46.8977329335,27.1304764602,2.38255714688,54.1798865563,30.049507729,0.0834708548027,
1000006,43.0989760071,33.0798245134,3.05688849258,54.3304382709,37.5073768392,0.104187157887,
1000007,38.4482351325,38.3878379437,3.74607803111,54.331325097,44.9549625174,0.124874895882,
1000008,33.0813309,42.9721410788,4.43507809467,54.2307971822,52.4097708854,0.145582696904,
1000009,27.1642851536,46.8246206412,5.11142706851,54.1335707865,59.8807687333,0.166335468704,
1000010,20.8225603227,49.9341373284,5.76520602904,54.101729077,67.3638391286,0.187121775357,
1000011,14.1527567467,52.2666530481,6.38693482776,54.148901599,74.8487866643,0.20791329629,
1000012,7.24332745406,53.7611359255,6.96581741644,54.2468941839,82.3266519425,0.228685144285,
1000013,0.19353773473,54.3299171825,7.48843435867,54.330261898,89.7958979316,0.24943304981,
1000014,-6.86981719458,53.8909426626,7.94179509666,54.3270474934,97.2646714389,0.270179642886,
1000015,-13.8072301206,52.4699394367,8.32810962608,54.2561899519,104.742900372,0.290952501032,
1000016,-20.4954401438,50.1327708756,8.65585798305,54.1604817404,112.235883132,0.311766342032,
1000017,-26.8263161746,46.9472440286,8.93465027802,54.0712026996,119.744255302,0.332622931395,
1000018,-32.6991803162,42.9776188092,9.1744239791,54.0028898474,127.265404024,0.353515011178,
1000019,-38.0131501924,38.2849573362,9.3850717868,53.9512515683,134.795888302,0.374433023061,
1000020,-42.6699994092,32.93871812,9.5729659892,53.9044339639,142.333980855,0.395372169041,
1000021,-46.6060774069,27.0403900939,9.72991871412,53.8823639765,149.87811237,0.416328089918,
1000022,-49.7734344351,20.6949916008,9.84402571653,53.9043361226,157.423246352,0.437286795423,
1000023,-52.1256289688,14.0037876999,9.90341470006,53.9739498771,164.962299554,0.458228609871,
1000024,-53.6143396975,7.06914811472,9.8960809571,54.0783716126,172.488774686,0.479135485239,
1000025,-54.1899905436,0.000788114338254,9.81001936453,54.1899905493,179.999166716,0.499997685324,
1000026,-53.4198995136,-9.86812006702,9.56364762306,54.3237099037,190.466116399,0.529072545553,
1000027,-50.909869427,-19.4436153144,9.27407415588,54.4965043059,200.902972694,0.55806381304,
1000028,-46.7806800199,-28.4427453792,9.07090025058,54.7487149423,211.299683537,0.586943565381,
1000029,-41.1392394339,-36.5808688637,9.08277364974,55.0508581951,221.643384313,0.615676067535,
1000030,-34.1181370663,-43.5535505617,9.43053119501,55.3259346365,231.926248683,0.644239579674,
1000031,-25.9859184339,-49.1592179651,10.1476382134,55.6048259397,242.138745645,0.672607626792,
1000032,-17.0530385292,-53.301232379,11.2144558935,55.9627331016,252.258600684,0.700718335234,
1000033,-7.59751367669,-55.8945503139,12.6144426379,56.408536312,262.259461413,0.728498503925,
1000034,2.10926657597,-56.8443150224,14.3331105008,56.8834348107,272.125043693,0.755902899146,
1000035,11.7823710567,-56.1158422043,16.3303933984,57.3394455328,281.857866522,0.782938518117,
1000036,21.1675192991,-53.8262187013,18.5204374547,57.8387905558,291.467564047,0.809632122353,
1000037,30.0590133765,-50.113043762,20.8209740235,58.436815795,300.956347107,0.835989853074,
1000038,38.278138222,-45.1000955454,23.1581912914,59.1543276857,310.322512629,0.862006979524,
1000039,45.6534372608,-38.9003354624,25.4633576663,59.9789332417,319.566380027,0.887684388964,
1000040,52.0380978107,-31.6610905895,27.6963973046,60.9129565944,328.682775353,0.913007709313,
1000041,57.320179936,-23.5595402907,29.8475147806,61.973018053,337.656528424,0.937934801178,
1000042,61.3942056108,-14.7666589235,31.9088733268,63.1450924328,346.475988984,0.962433302733,
1000043,64.1562652194,-5.45664648582,33.8709569128,64.3878976033,355.138554422,0.986495984504,
1000044,65.5124344349,4.18061226359,35.7215481378,65.6456897632,3.65132345184,1.01014256514,
1000045,65.4508071612,13.9347643736,37.4577874268,66.9177541181,12.0190664329,1.03338629565,
1000046,64.0386011013,23.6049746598,39.0914873229,68.2505476879,20.2341592567,1.05620599794,
1000047,61.3342420723,33.0115215694,40.6355460689,69.6537853021,28.2901752492,1.07858382014,
1000048,57.3838155351,41.9794409272,42.101102218,71.099759113,36.1875383831,1.10052093995,
1000049,52.2309401988,50.3262230511,43.4963556544,72.531371424,43.9360108523,1.12204447459,
1000050,45.9453136723,57.8680704027,44.8277120721,73.8896841282,51.5515994392,1.14319888733,
1000051,38.6867224356,64.4899623971,46.1110619372,75.2038412768,59.0409831666,1.16400273102,
1000052,30.631348402,70.1228805275,47.367545311,76.5212250189,66.403145787,1.18445318274,
1000053,21.9370457974,74.7107068142,48.6184304392,77.864778244,73.636361539,1.20454544872,
1000054,12.7490767797,78.2009794112,49.8839642324,79.2334029284,80.7405513423,1.22427930928,
1000055,3.20785536194,80.5418237752,51.182615284,80.605680402,87.719203868,1.24366445519,
1000056,-6.54278324584,81.6886003551,52.5295874583,81.9502009795,94.5792842648,1.26272023407,
1000057,-16.3535407234,81.6538056437,53.9304007471,83.2753401091,101.325301118,1.28145916977,
1000058,-26.0856860792,80.4771993285,55.3864816675,84.5993063209,107.95945882,1.29988738561,
1000059,-35.608503662,78.1871626486,56.8999499345,85.9138983872,114.485775895,1.31801604415,
1000060,-44.7889073993,74.8029191933,58.4725653451,87.1867131269,120.911437787,1.33586510496,
1000061,-53.4852451621,70.3407458915,60.1047169365,88.3656719695,127.248399538,1.35346777649,
1000062,-61.5423022412,64.8248696171,61.7937312648,89.3852263297,133.511995104,1.37086665307,
1000063,-68.8021301484,58.3086275551,63.5325763521,90.1866351536,139.71929477,1.38810915214,
1000064,-75.1734433681,50.9299461185,65.3124214701,90.8014647428,145.882392232,1.40522886731,
1000065,-80.6097267927,42.8448587802,67.1276431894,91.2886081474,152.008918349,1.42224699541,
1000066,-85.0675223969,34.1883434319,68.975418788,91.6805660616,158.104975885,1.43918048857,
1000067,-88.4964789837,25.0815879892,70.8542335054,91.9821333117,164.176259921,1.45604516645,
1000068,-90.8342896962,15.6416508217,72.7624707268,92.1711962873,170.229497708,1.47285971586,
1000069,-92.0059198503,5.99334245539,74.6966836697,92.2009188744,176.272970791,1.48964714109,
1000070,-91.9304192246,-3.72127839909,76.6502051367,92.0057057564,182.318027128,1.50643896425,
1000071,-90.5943533459,-13.3417482928,78.6143749183,91.571497234,188.377678319,1.52327132866,
1000072,-88.0786865754,-22.7223539151,80.5854549136,90.9624119969,194.465640716,1.54018233532,
1000073,-84.4668636413,-31.7368572351,82.5638658215,90.2323620469,200.592778565,1.55720216268,
1000074,-79.8315655117,-40.2679409018,84.5526153673,89.4124483309,206.76689166,1.57435247683,
1000075,-74.2334890609,-48.1966678964,86.5560830593,88.507229617,212.993960799,1.59164989111,
1000076,-67.7255789541,-55.3914254115,88.5785037117,87.4926514274,219.279061355,1.60910850376,
1000077,-60.3618784714,-61.6993771787,90.6222966789,86.3155230352,225.627799245,1.62674388679,
1000078,-52.2300430833,-66.9735802716,92.68300777,84.9319601498,232.050742419,1.64458539561,
1000079,-43.487441583,-71.158442397,94.746107532,83.394733046,238.569422072,1.66269283909,
1000080,-34.2939017588,-74.236279946,96.7998363621,81.7746718616,245.205136181,1.68112537828,
1000081,-24.795515389,-76.1984003368,98.8365830204,80.1312286021,251.974734015,1.69992981671,
1000082,-15.1279261448,-77.0328753787,100.851427887,78.5042549073,258.889488588,1.7191374683,
1000083,-5.42451148163,-76.716150413,102.840517974,76.9076918065,265.95541246,1.73876503461,
1000084,4.17235619431,-75.2100595781,104.799412663,75.3257035676,273.175288152,1.75882024487,
1000085,13.5108007668,-72.5104387082,106.724528042,73.7584263594,280.554829307,1.7793189703,
1000086,22.4503191008,-68.6753597401,108.61771085,72.2517948784,288.102827778,1.80028563272,
1000087,30.8601626997,-63.7768691049,110.484740671,70.8508198589,295.821273926,1.8217257609,
1000088,38.615057349,-57.8908518846,112.334461422,69.5878824652,303.704561052,1.8436237807,
1000089,45.5877605346,-51.0947584788,114.177638406,68.4756763717,311.739977676,1.86594438243,
1000090,51.6440932531,-43.4722516923,116.024875419,67.5051778395,319.910461098,1.88864016972,
1000091,56.6807838181,-35.1411326121,117.874511337,66.6904075223,328.201783294,1.91167162026,
1000092,60.6395044153,-26.2453590405,119.717041679,66.0754747762,336.596576243,1.93499048957,
1000093,63.481738181,-16.9295192583,121.545065337,65.7003782698,345.06769322,1.95852137005,
1000094,65.1816292835,-7.33530035037,123.352948581,65.5930745375,353.579158599,1.98216432944,
1000095,65.721308828,2.39798804096,125.136033583,65.7650422391,2.0896368809,2.00580454689,
1000096,65.0939720705,12.1308995036,126.892603209,66.2146805677,10.5565322302,2.02932370064,
1000097,63.3081409812,21.7232752163,128.62624928,66.9314679401,18.9389180335,2.05260810565,
1000098,60.3794293001,31.0340430215,130.340483005,67.8880498237,27.2024256017,2.07556229334,
1000099,56.3335261606,39.9196904691,132.037305187,69.0438111407,35.3225738027,2.09811826056,
1000100,51.2125918194,48.2357104493,133.716595824,70.3520669448,43.2854224928,2.1202372847,
1000101,45.0862865305,55.8456863027,135.376787101,71.7740476198,51.0847802685,2.14190216741,
1000102,38.073232214,62.6514092761,137.022512223,73.3128235406,58.7129694395,2.16309158178,
1000103,30.2966552038,68.5715003718,138.661434753,74.9662456028,66.1629235271,2.18378589869,
1000104,21.8692488732,73.5217490686,140.299990016,76.7053559563,73.4347437524,2.20398539931,
1000105,12.9047121235,77.4130582888,141.942202847,78.4812919658,80.535851745,2.22371069929,
1000106,3.52629382056,80.1566502946,143.589060275,80.2341780949,87.4810378973,2.24300288305,
1000107,-6.12560579676,81.6788491901,145.238101405,81.908225786,94.2889385575,2.26191371822,
1000108,-15.8924235883,81.9880042552,146.88833272,83.5140824608,100.970078314,2.28047243976,
1000109,-25.6264893192,81.1344677527,148.54262279,85.0853619158,107.528829423,2.29869119284,
1000110,-35.193752471,79.1534972106,150.204543092,86.6249175103,113.971204891,2.31658668025,
1000111,-44.4613511156,76.0665252735,151.877021803,88.1074798766,120.306548123,2.3341848559,
1000112,-53.2879566273,71.8878538556,153.561163795,89.4844671073,126.548249479,2.35152291522,
1000113,-61.5181617685,66.6353134524,155.255035223,90.6904031653,132.713401668,2.36864833797,
1000114,-68.9873549089,60.3491629081,156.952714127,91.6584780642,138.821024418,2.38561395672,
1000115,-75.588118816,53.1548118673,158.648130722,92.4066974347,144.884481039,2.40245689177,
1000116,-81.2692736279,45.2126153896,160.339557485,92.9993302469,150.911456557,2.41919849044,
1000117,-85.9858537396,36.6613582651,162.027898408,93.4752493079,156.908297198,2.43585638111,
1000118,-89.6871104435,27.6238702505,163.715144746,93.844850617,162.881027491,2.45244729859,
1000119,-92.3099992404,18.2171267221,165.403021785,94.0903803041,168.83628603,2.46898968342,
1000120,-93.7774280001,8.56315635094,167.091803575,94.1675827926,174.782584149,2.48550717819,
1000121,-94.0017352102,-1.19860451662,168.778853476,94.0093765287,180.730531819,2.50202925505,
1000122,-92.9343244918,-10.9059446603,170.458168474,93.5720486987,186.693110207,2.5185919728,
1000123,-90.6467881877,-20.4027010726,172.125357368,92.9145328773,192.68469928,2.53523527578,
1000124,-87.2317553301,-29.5577919594,173.780371857,92.103432094,198.718544467,2.55199595685,
1000125,-82.773273885,-38.2546127975,175.425906673,91.1856911468,204.804557894,2.56890154971,
1000126,-77.3426418153,-46.3809552328,177.066359761,90.1835752855,210.950338537,2.5859731626,
1000127,-71.0003090371,-53.817276211,178.706584987,89.0917678696,217.161636324,2.60322676757,
1000128,-63.80225035,-60.4268801595,180.350730777,87.8756792038,223.443626739,2.62067674094,
1000129,-55.8170287428,-66.0577255572,182.000307013,86.4821588737,229.803075338,2.63834187594,
1000130,-47.1776809562,-70.622704725,183.65077479,84.9311486033,236.256114993,2.65626698609,
1000131,-38.0418904696,-74.0916714895,185.298138557,83.2872211964,242.822061363,2.67450572601,
1000132,-28.5569214022,-76.4473375659,186.941873659,81.606943215,249.516813621,2.69310226006,
1000133,-18.8606200803,-77.6728369428,188.584007754,79.929922986,256.351519564,2.71208755434,
