Radius,Theta(Turn),Z,
54.2,0.0,0.0
54.3300003984,0.125,3.75000059511
54.3300025052,0.25,7.50000196924
53.949999484,0.375,9.39000202043
54.1900001915,0.5,9.80999971142
55.1399811779,0.625,9.19023638117
56.780107354,0.75,13.969852181
59.5796987839,0.875,24.3300460447
65.1002328298,1.0,34.9299821206
72.7199666748,1.125,43.6800198444
81.0499767639,1.25,51.6299843141
89.570140332,1.375,62.2099883167
92.0898795107,1.5,75.8999933348
86.4399883853,1.625,90.4200094306
76.0201132863,1.75,103.939923576
68.0898039861,1.875,114.910125049
65.7102558055,2.0,124.699915243
70.6697916805,2.125,134.080036937
80.8501731624,2.25,144.199971129
91.0598504554,2.375,155.890008393
94.0200181033,2.5,168.569998194
87.5300528722,2.625,180.750022552
76.7299821937,2.75,191.769976729
68.1801853782,2.875,201.65003557
65.5697621371,3.0,211.449932595
70.1002204011,3.125,222.330107044
79.2399696695,3.25,235.880010405
87.7897328854,3.375,251.429928798
90.3301639496,3.5,265.020047988
86.5799508054,3.625,274.359976421
79.2698741987,3.75,280.379894462
72.0400690099,3.875,286.100137883
66.0999090002,4.0,294.609878656
62.4202477211,4.125,307.850103139
60.5098207233,4.25,324.250010789
57.6199838927,4.375,337.559922263
55.7800104553,4.5,342.930002392
55.2900690637,4.625,341.850007
56.0199314652,4.75,337.149996585
56.1300165337,4.875,333.190049172
55.579998029,4.96520203863,332.589999134
