TL_r3_5 5-th Error Data(Design-Set)
Theta, R, Z, 
0.0,0.0,0.0,
0.0,-3.97629563054e-07,-5.95815440096e-07,
0.0,-5.09357860778e-07,4.29070308172e-08,
0.0,5.16796411887e-07,-8.41432825638e-08,
0.0,-1.91741342803e-07,2.89920082608e-07,
0.0,5.07823123996e-07,8.56205861766e-08,
0.0,-9.8914036073e-08,8.45652490256e-08,
0.0,-1.25276905294e-07,-5.76995233814e-07,
0.0,-5.53730714614e-07,-6.37277970839e-07,
0.0,1.81967863e-07,7.43572748263e-07,
0.0,9.23759557736e-09,-1.1365921182e-07,
0.0,1.60518368375e-07,-3.12686260884e-07,
0.0,-1.03533565721e-07,7.05144884705e-08,
0.0,-4.22166664293e-07,3.00458268043e-07,
0.0,6.85162973468e-07,2.05395252806e-07,
0.0,-6.02007759198e-08,-2.87130689003e-07,
0.0,-6.57401145077e-07,6.17597194719e-07,
0.0,4.46977409752e-07,-1.265892422e-07,
0.0,1.29588670461e-07,-3.07096343022e-07,
0.0,-1.73692754402e-07,-6.45272763222e-07,
0.0,-4.7529982794e-07,8.71520796863e-07,
0.0,-5.47432250642e-08,1.5367351125e-07,
0.0,3.5609720328e-07,-4.6106910645e-07,
0.0,-9.93039961372e-07,3.93052602021e-07,
0.0,4.95352338703e-07,-8.45383851811e-09,
0.0,-6.32556364621e-07,-3.59001148809e-08,
0.0,-2.49067255709e-07,2.72031314807e-07,
0.0,4.5035122298e-08,-9.0368189376e-08,
0.0,-7.1567797022e-08,-4.53014365576e-07,
0.0,1.22286223814e-07,1.96221492388e-07,
0.0,-1.92247739506e-07,-2.76473031136e-07,
0.0,2.76667009302e-08,-8.35618322981e-07,
0.0,-3.10061665232e-07,4.23882852374e-07,
0.0,-4.57649697694e-07,-9.60767465585e-10,
0.0,-1.24535475265e-08,-7.59701492825e-08,
0.0,-2.66537412585e-07,2.00096621938e-07,
0.0,4.46755258565e-07,4.98785766467e-07,
0.0,4.09555283909e-07,-8.38517735247e-08,
0.0,-3.87005435698e-07,-5.04662295953e-07,
0.0,-5.18485705925e-07,1.99337080176e-07,
-0.000202037235108,-1.85763404659e-07,-1.12982490919e-07,
