Node ID,X,Y,Z,R, Theta(Deg.),Theta(turn.), 
1000001,54.1760482788,7.32088061683e-17,5.52507680093e-17,54.1760482788,0.0,0.0,
1000002,53.3196144104,7.00945186615,0.701123356819,53.7783757317,7.4892168111,0.0208033800308,
1000003,51.9165229797,13.9258909225,1.43387174606,53.751798075,15.0153417441,0.0417092826226,
1000004,49.8305892944,20.6625423431,2.20048332214,53.9446780092,22.5216237368,0.0625600659356,
1000005,46.9335403442,27.0865058899,2.99846482277,54.1888919481,29.9903063881,0.0833064066336,
1000006,43.1525535583,33.0288772583,3.81800055504,54.3419691541,37.4303702403,0.103973250667,
1000007,38.5176200867,38.3312835693,4.64265584946,54.3405406415,44.8610744645,0.124614095735,
1000008,33.1633415222,42.9100379944,5.45492935181,54.2317119553,52.3010906084,0.145280807246,
1000009,27.2564907074,46.7571411133,6.2413983345,54.1215902461,59.760487523,0.166001354231,
1000010,20.9234275818,49.8624153137,6.99137163162,54.0744882795,67.2359472533,0.186766520148,
1000011,14.2610225677,52.192855835,7.69428491592,54.1061083879,74.7176982072,0.207549161687,
1000012,7.35755872726,53.6883430481,8.33773040771,54.1901453188,82.1966787671,0.228324107686,
1000013,0.311711341143,54.2618026733,8.90604972839,54.2626979915,89.6708633525,0.249085731535,
1000014,-6.75039482117,53.8297843933,9.38373374939,54.2513918538,97.147727518,0.269854798661,
1000015,-13.6889677048,52.4155731201,9.77258300781,54.1736111251,104.636572626,0.290657146184,
1000016,-20.3800945282,50.0844955444,10.0818939209,54.0722197336,112.142107705,0.311505854737,
1000017,-26.715215683,46.9044532776,10.3222827911,53.9789818935,119.664399406,0.332401109462,
1000018,-32.5936431885,42.9401321411,10.5047006607,53.9091877568,127.20026151,0.353334059749,
1000019,-37.9149551392,38.2530975342,10.6400136948,53.859477292,134.745641327,0.374293448129,
1000020,-42.5814437866,32.9128913879,10.735783577,53.8185634746,142.298137019,0.395272602832,
1000021,-46.5291366577,27.0205211639,10.785656929,53.8058465418,149.855296419,0.416264712275,
1000022,-49.7094650269,20.6806640625,10.7795791626,53.8397694954,157.411189478,0.437253304106,
1000023,-52.0752944946,13.99447155,10.7074565887,53.9229221265,164.957983065,0.458216619625,
1000024,-53.5776596069,7.06443834305,10.5590963364,54.0413906007,172.488641651,0.479135115697,
1000025,-54.1665725708,0.000645648862701,10.3244915009,54.1665725746,179.999317052,0.499998102922,
1000026,-53.4146690369,-9.86134910583,9.86280155182,54.3173367766,190.460095224,0.529055820068,
1000027,-50.9236068726,-19.4321880341,9.35598087311,54.5052627615,200.886598679,0.558018329665,
1000028,-46.8142471313,-28.432510376,8.94076061249,54.7720857806,211.272293058,0.586867480718,
1000029,-41.1921195984,-36.5811576843,8.75285625458,55.0905782737,221.607063779,0.615575177165,
1000030,-34.1871261597,-43.5758056641,8.92101860046,55.3860129846,231.884264,0.644122955554,
1000031,-26.0652999878,-49.2128639221,9.48468780518,55.6893691729,242.092335105,0.672478708626,
1000032,-17.1369991302,-53.3932952881,10.4269142151,56.0760262582,252.205557421,0.700570992836,
1000033,-7.68113851547,-56.0317497253,11.7329559326,56.5557854351,262.194235137,0.728317319824,
1000034,2.03039979935,-57.0354118347,13.3899469376,57.0715404252,272.038807652,0.75566335459,
1000035,11.7133073807,-56.3705444336,15.3592414856,57.5746458915,281.738520052,0.782607000145,
1000036,21.1134986877,-54.1510925293,17.5546207428,58.1216022573,291.300799002,0.809168886117,
1000037,30.0243797302,-50.5102005005,19.8929271698,58.760052185,300.728185645,0.835356071235,
1000038,38.2651519775,-45.5672454834,22.2994213104,59.5029051123,310.021902514,0.861171951427,
1000039,45.6614074707,-39.4316139221,24.7040882111,60.33089017,319.187243423,0.886631231731,
1000040,52.0648422241,-32.2498855591,27.062915802,61.2437989873,328.225192363,0.911736645452,
1000041,57.3669128418,-24.203037262,29.3626003265,62.2635503461,337.125172483,0.936458812453,
1000042,61.4658164978,-15.4635906219,31.5925788879,63.3811425636,345.878568085,0.960773800237,
1000043,64.2594451904,-6.20496988297,33.7406768799,64.5583298067,354.48454984,0.98467930511,
1000044,65.6516571045,3.38592028618,35.7915802002,65.738911892,2.9523582504,1.00820099514,
1000045,65.6197967529,13.1000843048,37.7365379333,66.914646638,11.2898864154,1.0313607956,
1000046,64.2320404053,22.7349777222,39.5823860168,68.1368786095,19.4914545409,1.05414292928,
1000047,61.5514755249,32.1105041504,41.3384857178,69.4238331993,27.5503902521,1.07652886181,
1000048,57.628238678,41.0531692505,43.0130386353,70.7557531133,35.4652881635,1.09851468934,
1000049,52.5079307556,49.3829650879,44.6114730835,72.0816206332,43.2433049111,1.12012029142,
1000050,46.2557907104,56.9149627686,46.1367721558,73.3410605404,50.8986327898,1.14138509108,
1000051,39.0237579346,63.5272827148,47.6011810303,74.555813539,58.4382826513,1.16232856292,
1000052,30.9895477295,69.1497344971,49.0239715576,75.7762353874,65.860398025,1.18294555007,
1000053,22.3133621216,73.727142334,50.4252586365,77.0297192381,73.1616726166,1.20322686838,
1000054,13.1421995163,77.2093505859,51.8245239258,78.3198648239,80.3399753802,1.22316659828,
1000055,3.61748933792,79.547203064,53.2396087646,79.6294150701,87.3962105526,1.24276725154,
1000056,-6.11799001694,80.6976013184,54.685585022,80.9291829959,94.335515735,1.26204309926,
1000057,-15.9159955978,80.6693649292,56.1693382263,82.2244814757,101.16105895,1.28100294153,
1000058,-25.6379146576,79.4999771118,57.6939888,83.5317246845,107.873970868,1.29964991908,
1000059,-35.1525039673,77.2166824341,59.2630386353,84.8417030787,114.477160998,1.31799211388,
1000060,-44.3267974854,73.838218689,60.8794898987,86.1217017625,120.977371768,1.33604825491,
1000061,-53.0189399719,69.381362915,62.5446739197,87.3199949364,127.385864711,1.3538496242,
1000062,-61.0745506287,63.8714981079,64.2568054199,88.3723316714,133.717634306,1.37143787307,
1000063,-68.3384246826,57.3643226624,66.0099029541,89.2233478559,139.989386386,1.38885940663,
1000064,-74.7218170166,49.9986152649,67.7973251343,89.9066819912,146.212329096,1.4061453586,
1000065,-80.1763839722,41.9272689819,69.6158447266,90.4773365608,152.39322725,1.42331452014,
1000066,-84.6556930542,33.2827720642,71.4647064209,90.9633403233,158.537502615,1.44038195171,
1000067,-88.1060180664,24.1849536896,73.3441390991,91.3651049607,164.650475534,1.45736243204,
1000068,-90.4619750977,14.7503633499,75.2540588379,91.6566536457,170.739082358,1.47427522877,
1000069,-91.6462173462,5.10485124588,77.192237854,91.7882817145,176.811821541,1.49114394873,
1000070,-91.578742981,-4.60746955872,79.1529846191,91.6945742217,182.880211591,1.50800058775,
1000071,-90.2577590942,-14.2268753052,81.1290130615,91.3721350175,188.957544673,1.52488206854,
1000072,-87.7653274536,-23.6093139648,83.1176071167,90.8853806117,195.056427372,1.54182340937,
1000073,-84.181602478,-32.6293487549,85.1199645996,90.2840882766,201.186662046,1.55885183902,
1000074,-79.5755615234,-41.1683654785,87.1394729614,89.5941086676,207.354756353,1.57598543431,
1000075,-74.0041656494,-49.1054344177,89.1808242798,88.8141893102,213.566247003,1.59323957501,
1000076,-67.5176239014,-56.3057785034,91.2482376099,87.9145621053,219.826144422,1.61062817895,
1000077,-60.1689605713,-62.6132202148,93.3437347412,86.8373143407,226.14045267,1.62816792408,
1000078,-52.051410675,-67.8859024048,95.4613037109,85.5444042505,232.52086924,1.64589130344,
1000079,-43.3256721497,-72.0742034912,97.585395813,84.0940228323,238.988832708,1.66385786863,
1000080,-34.1505012512,-75.1612625122,99.7038345337,82.5558727053,245.564706779,1.6821241855,
1000081,-24.6704292297,-77.1373901367,101.808532715,80.9864620507,252.264448873,1.7007345802,
1000082,-15.0198497772,-77.9882736206,103.893974304,79.4214499342,259.098813126,1.71971892535,
1000083,-5.33168411255,-77.687210083,105.955474854,77.8699522663,266.073938943,1.73909427484,
1000084,4.25100851059,-76.1929550171,107.98740387,76.3114504357,273.193373883,1.75887048301,
1000085,13.5763597488,-73.5017700195,109.985099792,74.745085056,280.46503667,1.7790695463,
1000086,22.503364563,-69.6748580933,111.949249268,73.21876308,287.899254295,1.79972015082,
1000087,30.9027099609,-64.7859268188,113.88494873,71.7787837505,295.501014423,1.82083615117,
1000088,38.6497306824,-58.9115180969,115.800270081,70.4582759249,303.267441392,1.84240955942,
1000089,45.6173706055,-52.1284141541,117.705299377,69.2698784695,311.189042709,1.86441400752,
1000090,51.6698379517,-44.5178070068,119.610237122,68.2026927229,319.252401675,1.88681222687,
1000091,56.699054718,-36.1949424744,121.513465881,67.2670548385,327.447084064,1.90957523351,
1000092,60.6473884583,-27.305305481,123.404266357,66.5107918628,335.761271805,1.93267019946,
1000093,63.478767395,-17.9950561523,125.274253845,65.9801178835,344.172947933,1.95603596648,
1000094,65.1700363159,-8.40652942657,127.117218018,65.7099944485,352.649789091,1.97958274747,
1000095,65.7051467896,1.32130610943,128.928253174,65.7184309343,1.15204157803,2.00320011549,
1000096,65.0760879517,11.0498514175,130.704986572,66.007548352,9.63684919662,2.02676902555,
1000097,63.2899589539,20.6393260956,132.450912476,66.5702687847,18.0615324226,2.0501709234,
1000098,60.3625411987,29.9489593506,134.170043945,67.3838003243,26.3883729418,2.07330103595,
1000099,56.3201217651,38.8358535767,135.865188599,68.4118384395,34.5884210669,2.09607894741,
1000100,51.2051773071,47.1563110352,137.537338257,69.6109750937,42.6428573626,2.11845238156,
1000101,45.0856781006,54.7733306885,139.185958862,70.9424846231,50.5411128664,2.14039198018,
1000102,38.0763244629,61.5855178833,140.816162109,72.4056800089,58.2728451211,2.16186901423,
1000103,30.3004875183,67.5109786987,142.43661499,73.9989985656,65.8283548355,2.18285654121,
1000104,21.8725643158,72.4657745361,144.054595947,75.6947656636,73.2044513275,2.20334569813,
1000105,12.9070825577,76.3629379272,145.675216675,77.4460526369,80.4063766178,2.22335104616,
1000106,3.52829170227,79.1165390015,147.300476074,79.1951740064,87.4465216937,2.2429070047,
1000107,-6.12376213074,80.6563339233,148.929153442,80.8884705294,94.3418023683,2.26206056213,
1000108,-15.8921508789,80.9903869629,150.561950684,82.5348607557,101.101681705,2.28083800474,
1000109,-25.6302814484,80.1655731201,152.203445435,84.1631180554,107.72995208,2.29924986689,
1000110,-35.2040557861,78.2136154175,153.858612061,85.7711791948,114.232575337,2.31731270927,
1000111,-44.4796524048,75.1530532837,155.53163147,87.3293816302,120.619347734,2.33505374371,
1000112,-53.3142814636,70.9964675903,157.224594116,88.7857590962,126.904451394,2.35251236498,
1000113,-61.5512542725,65.7615814209,158.936431885,90.0729842599,133.105877631,2.36973854897,
1000114,-69.0272979736,59.4919662476,160.661804199,91.1266257114,139.243216714,2.38678671309,
1000115,-75.6408233643,52.3190803528,162.395019531,91.9718453016,145.329249562,2.4036923599,
1000116,-81.3408355713,44.4014511108,164.134399414,92.6704936438,151.371236364,2.42047565657,
1000117,-86.0805435181,35.8753242493,165.880737305,93.2571652065,157.37535356,2.43715375989,
1000118,-89.8063735962,26.8616199493,167.635879517,93.7375664544,163.347763437,2.45374378732,
1000119,-92.4520263672,17.4761657715,169.401275635,94.0892849876,169.29570732,2.47026585367,
1000120,-93.9372711182,7.84115791321,171.176712036,94.2639626928,175.228452419,2.48674570116,
1000121,-94.1725234985,-1.90295934677,172.958770752,94.1917482392,181.157627496,2.50321563193,
1000122,-93.1170043945,-11.5925836563,174.740158081,93.8358380537,187.096514567,2.51971254046,
1000123,-90.8474884033,-21.0733413696,176.515365601,93.2595939605,193.059590519,2.53627664033,
1000124,-87.4556884766,-30.2152729034,178.283279419,92.5281587601,199.059640514,2.55294344587,
1000125,-83.0235595703,-38.9020614624,180.045501709,91.6857776853,205.106216046,2.56973948902,
1000126,-77.6199493408,-47.0207252502,181.805343628,90.7513368427,211.206703439,2.58668528733,
1000127,-71.3029174805,-54.4501304626,183.56640625,89.7157887366,217.3669891,2.60379719194,
