Radius,Theta(Turn),Z,
54.1697502136,0.0,0.0
54.3359328479,0.125,4.50207911592
54.2723381932,0.25,8.7328733448
53.8651805898,0.375,10.5563081233
54.1600973638,0.5,10.4175533032
55.1774048427,0.625,9.05941421667
56.9216358822,0.75,13.3215736467
59.8828168749,0.875,23.7635230383
65.3520989225,1.0,35.0159916267
72.508261942,1.125,44.7111936713
80.3062674464,1.25,53.4563266819
88.6709879268,1.375,64.3370677272
91.6697040206,1.5,78.0757467184
86.7882137825,1.625,92.9209006564
76.7308147077,1.75,107.002901444
68.6243660044,1.875,118.444157981
65.7988545722,2.0,128.413201353
70.2676770537,2.125,137.680134822
80.2089157651,2.25,147.49065946
90.6836015182,2.375,159.039547168
94.2082268168,2.5,172.153498496
87.9301781592,2.625,185.18441111
76.860130344,2.75,196.892593764
67.8965090086,2.875,207.026522968
65.0158812648,3.0,216.701667961
69.5973532969,3.125,227.281885083
79.1653093624,3.25,240.639834789
88.249054352,3.375,256.460891571
90.9001974132,3.5,270.678664944
86.7021067533,3.625,280.480544495
78.8314978978,3.75,286.585893861
71.3350626114,3.875,292.216756536
65.5738318021,4.0,300.80233668
62.3074706523,4.125,314.574022526
60.5660829306,4.25,331.794912897
57.5683149112,4.375,345.623974698
55.674330541,4.5,350.99115752
55.2613893078,4.625,349.445077247
56.0152386954,4.75,344.05447154
56.067129429,4.875,339.614048617
55.5169489222,4.9652008828,338.96585083
