TL_r3_5 5-th Conditioner Data  
Theta, R, Z, 
0.0,-0.0239521081838,0.0,
0.125,0.00916238903172,0.908001313065,
0.25,-0.0657697797583,1.42905758049,
0.375,-0.0920558332775,1.25387872513,
0.499998877942,-0.0234169818211,0.514466055732,
0.625,0.0532480418463,-0.426024080536,
0.75,0.185730554829,-0.95341229003,
0.875,0.362481005718,-0.72418519619,
1.0,0.231038297861,0.159903665625,
1.125,-0.34061553637,1.28977437686,
1.25,-0.929245342828,2.14935065424,
1.375,-1.00434010601,2.40658291413,
1.5,-0.319462900149,2.32672375691,
1.625,0.603889930608,2.55140367506,
1.75,0.985094705654,3.15100476614,
1.875,0.656580263447,3.70395728941,
2.0,-0.00864689563783,3.99344600594,
2.125,-0.670559463562,3.95675127994,
2.25,-1.01351073412,3.70909810879,
2.375,-0.629118618083,3.58748881308,
2.5,0.207838334547,4.05290937996,
2.625,0.713123973839,4.98955461047,
2.75,0.477670902552,5.77388398312,
2.875,-0.107127301859,6.06198007253,
3.0,-0.58732248931,5.91981027414,
3.125,-0.746470220141,5.53577450953,
3.25,-0.388657452643,5.2528107802,
3.375,0.299593895525,5.52033820735,
3.5,0.61108693851,6.28257200925,
3.625,0.317383844199,6.93882124102,
3.75,-0.226844038216,7.12265562792,
3.875,-0.619502125319,6.9772534145,
4.0,-0.604328297481,6.92323921379,
4.125,-0.247514025989,7.24508584675,
4.25,0.062806102387,7.99453410685,
4.375,-0.000715564051586,8.65137336333,
4.5,-0.0784850082901,8.73134512828,
4.625,-0.0433619149642,8.42395269141,
4.75,0.00717638463189,7.80470536251,
4.875,-0.0512792198866,7.25594380936,
4.96564338435,-0.0825064767547,7.11900499861,
