TL_r3_4 4-th Error Data(Design-Set)
Theta, R, Z, 
0.0,0.0007021228638,0.0,
0.0,-0.000154055714063,0.00587864328656,
0.0,-0.00143207153923,0.00333319415862,
0.0,-0.000664323618089,-0.00569127330655,
0.0,0.000673398904596,-0.0160072524747,
0.0,0.000521585308867,-0.0223264998939,
0.0,0.000839242163863,-0.0204516270761,
0.0,0.000784359622465,-0.0108300015524,
0.0,-0.00372480989628,0.00194736906641,
0.0,-0.0103087523125,0.00978154679259,
0.0,-0.0123466787923,0.00788270072119,
0.0,-0.00580287781409,-0.00223967350068,
0.0,0.00818616239749,-0.0123632989704,
0.0,0.0184592628197,-0.0137661486269,
0.0,0.0152485366643,-0.00680729662618,
0.0,0.00158945898362,0.00117425380604,
0.0,-0.0131090399591,0.0052854025963,
0.0,-0.0237002216525,0.00510959925967,
0.0,-0.0234231161012,0.00234704164498,
0.0,-0.0086959748195,-0.000701268645059,
0.0,0.0135813995481,9.74869933543e-05,
0.0,0.0238601290912,0.00484341208215,
0.0,0.0171300299382,0.00871929696274,
0.0,0.00146979137455,0.00840154743875,
0.0,-0.012981977332,0.0046335877577,
0.0,-0.0207986734494,-0.000414131107192,
0.0,-0.0190227818928,-0.00349658217155,
0.0,-0.00596958485143,0.000998023900024,
0.0,0.00836895569178,0.0125313604719,
0.0,0.0135746216025,0.0208709128482,
0.0,0.00957271649929,0.0198838576924,
0.0,0.00142343032695,0.0124765963514,
0.0,-0.00509395214807,0.00347020393804,
0.0,-0.00589696616305,-0.00349251777595,
0.0,-0.00118911070125,-0.00415821128638,
0.0,0.00190070846909,0.00407837699152,
0.0,0.000702707617286,0.0132351418167,
0.0,-0.0005956184959,0.0191491918642,
0.0,0.000117493485192,0.019670129675,
0.0,0.000630804464656,0.0139866202729,
0.000131134954657,0.000284523122637,0.00809247689267,
