Radius,Theta(Turn),Z,
54.4302500669,0.0,0.0
54.6935044299,0.125,4.22779589688
54.4957202867,0.25,8.23534113626
54.2949638767,0.375,10.2330851694
54.7199010867,0.500000952162,10.6324424641
55.567155313,0.625,9.93394925482
56.9572783904,0.75,13.8785022388
59.4085140579,0.875,24.2154601483
65.583979219,1.0,35.4106660962
73.6929608129,1.125,45.0710930871
82.569685298,1.25,54.1068119355
90.7685938303,1.375,66.0419336602
92.1891744043,1.5,80.6798220457
85.4306809063,1.625,95.4226848979
75.3553785824,1.75,108.941879984
68.2549082561,1.875,120.317388004
67.0403299995,2.0,130.29597174
72.5900971089,2.125,140.462472591
83.0058452805,2.25,151.544067199
91.9422357982,2.375,164.50199881
93.433798397,2.5,178.244419016
86.12086471,2.625,191.172381446
75.5496825946,2.75,202.347302535
68.2312854408,2.875,212.63426023
67.1124802974,3.0,222.957015602
72.3581367185,3.125,234.70276589
81.2419686157,3.25,248.626910099
88.8729797054,3.375,264.782246581
90.3785786311,3.5,278.629688383
85.6456144105,3.625,287.90856063
78.5652304338,3.75,294.185565114
71.6528073407,3.875,301.154749989
65.8373045017,4.0,311.48261141
62.391125464,4.125,325.845724768
60.1455522965,4.25,342.038144389
57.3382243224,4.375,353.502077479
56.0677696343,4.5,357.326150385
56.1818592859,4.625,355.079897052
56.6869175977,4.75,349.807950366
56.6923804218,4.875,346.773100529
56.1834925985,4.96476947515,346.603957364
