Node ID,X,Y,Z,R, Theta(Deg.),Theta(turn.), 
1000001,54.1697502136,-7.12577817119e-15,-6.57466179565e-16,54.1697502136,0.0,0.0,
1000002,53.312828064,7.01181221008,0.671503841877,53.7719550198,7.49265287557,0.0208129246544,
1000003,51.9088592529,13.9305686951,1.37551510334,53.7456083146,15.0222748947,0.0417285413743,
1000004,49.8215751648,20.6693439484,2.11472415924,53.9389574534,22.5319652003,0.062588792223,
1000005,46.9227333069,27.0950737,2.88726568222,54.183816032,30.0038654354,0.083344070654,
1000006,43.1397438049,33.0386924744,3.68404340744,54.3377649151,37.4467982907,0.104018884141,
1000007,38.5029983521,38.341884613,4.4892244339,54.3376572717,44.87987328,0.124666314667,
1000008,33.1474380493,42.9212112427,5.2855591774,54.2308309338,52.3216038976,0.145337788604,
1000009,27.2398071289,46.7687644958,6.05962657928,54.1232336884,59.7819426485,0.166060951801,
1000010,20.9063434601,49.8742713928,6.80077886581,54.0788141867,67.2574981968,0.18682638388,
1000011,14.2438745499,52.2046165466,7.49860334396,54.1129370019,74.7384949655,0.20760693046,
1000012,7.34068202972,53.6995773315,8.14096641541,54.1989872437,82.2159670133,0.228377686148,
1000013,0.295494258404,54.2719841003,8.71259975433,54.272788532,89.6880451883,0.249133458856,
1000014,-6.76550674438,53.8385772705,9.1983499527,54.2619985259,97.1624050901,0.269895569695,
1000015,-13.7026119232,52.4230117798,9.59976291656,54.1842572855,104.648544563,0.290690401563,
1000016,-20.3920459747,50.0907554626,9.92562484741,54.0825232571,112.151335895,0.311531488596,
1000017,-26.7253627777,46.9097366333,10.1860303879,53.9885951531,119.670981722,0.332419393672,
1000018,-32.6019248962,42.9446105957,10.3914289474,53.917762251,127.204394075,0.353345539096,
1000019,-37.9212799072,38.2568740845,10.552189827,53.8666119643,134.747591605,0.374298865569,
1000020,-42.585647583,32.9160041809,10.6753864288,53.8237931709,142.298251976,0.395272922154,
1000021,-46.5310401917,27.0229797363,10.7542495728,53.8087273139,149.854050441,0.416261251224,
1000022,-49.7089920044,20.6825008392,10.7783632278,53.840038327,157.409191402,0.437247753895,
1000023,-52.0725021362,13.9957208633,10.7372922897,53.9205497117,164.955930979,0.458210919386,
1000024,-53.5727958679,7.0651140213,10.6204948425,54.0366569399,172.487257219,0.479131270054,
1000025,-54.1600875854,0.000645720574539,10.4175806046,54.1600875893,179.999316894,0.499998102484,
1000026,-53.4067268372,-9.86293792725,9.99937343597,54.3098150983,190.463264732,0.529064624257,
1000027,-50.914440155,-19.4352722168,9.53339672089,54.4977983265,200.893064036,0.55803628899,
1000028,-46.8033027649,-28.4361019135,9.15457248688,54.7645966089,211.281448532,0.586892912588,
1000029,-41.1783409119,-36.5831069946,8.99682331085,55.0815711253,221.618096993,0.61560582498,
1000030,-34.1694602966,-43.5729217529,9.18705749512,55.3728410599,231.896803642,0.644157787896,
1000031,-26.0435810089,-49.2023277283,9.76428985596,55.6698946078,242.107013312,0.672519481422,
1000032,-17.1116924286,-53.37317276,10.7124357224,56.0491354817,252.223903088,0.700621953022,
1000033,-7.65288829803,-56.0004615784,12.0177774429,56.5209553731,262.218299615,0.728384165598,
1000034,2.06078314781,-56.9910202026,13.668545723,57.0282667711,272.070900906,0.755752502515,
1000035,11.7446069717,-56.3108482361,15.6266860962,57.5225818439,281.781141269,0.782725392415,
1000036,21.1443367004,-54.0745773315,17.8057155609,58.0615439692,291.356580074,0.80932383354,
1000037,30.0537433624,-50.4167709351,20.1221084595,58.6947892203,300.799426478,0.835553962438,
1000038,38.2931213379,-45.4585075378,22.5008144379,59.4376904781,310.109956917,0.861416546992,
1000039,45.6898765564,-39.3106842041,24.8717880249,60.2734992541,319.291935233,0.886922042314,
1000040,52.0968971252,-32.119972229,27.1923141479,61.2027720456,328.344386627,0.912067740631,
1000041,57.4043464661,-24.0652751923,29.4506931305,62.2446500775,337.255403165,0.936820564347,
1000042,61.5083045959,-15.3176221848,31.637594223,63.3869157134,346.015892738,0.961155257604,
1000043,64.3045272827,-6.05003929138,33.7418746948,64.5885067522,354.625194758,0.985069985438,
1000044,65.6956787109,3.54992198944,35.7492027283,65.7915203307,3.09301821062,1.00859171725,
1000045,65.6611404419,13.2721633911,37.652015686,66.9890713864,11.4272950412,1.03174248623,
1000046,64.2702407837,22.9139175415,39.4579315186,68.2327741448,19.6223981316,1.05450666148,
1000047,61.5862159729,32.2950782776,41.1768455505,69.5401616249,27.6719815124,1.07686661531,
1000048,57.6590194702,41.242023468,42.8174057007,70.8905284647,35.5751720121,1.09881992226,
1000049,52.5340423584,49.5744094849,44.385471344,72.231902109,43.3397357947,1.12038815499,
1000050,46.2769470215,57.1072883606,45.8844680786,73.5037292219,50.9803867837,1.14161218551,
1000051,39.0408630371,63.7196922302,47.3267974854,74.7287639708,58.5043241724,1.16251201159,
1000052,31.0035305023,69.3418121338,48.7315177917,75.9572630734,65.9100262288,1.18308340619,
1000053,22.3251457214,73.918548584,50.1184616089,77.2163451365,73.1944449998,1.20331790278,
1000054,13.1522865295,77.399848938,51.5068588257,78.5093577644,80.3560468963,1.22321124138,
1000055,3.62639069557,79.7363052368,52.914276123,79.8187263886,87.3959941762,1.24276665049,
1000056,-6.10977697372,80.8846130371,54.3555259705,81.1150417668,94.3197449868,1.26199929163,
1000057,-15.90782547,80.8537445068,55.8372688293,82.4038039896,101.130670282,1.28091852856,
1000058,-25.6290950775,79.6817321777,57.362449646,83.7020248103,107.830039044,1.29952788623,
1000059,-35.142414093,77.3962402344,58.9344558716,85.0009839396,114.420823488,1.3178356208,
1000060,-44.3149604797,74.0162734985,60.556224823,86.2683282841,120.90976486,1.33586045794,
1000061,-53.0049743652,69.5586624146,62.229057312,87.4524718025,127.308064358,1.3536335121,
1000062,-61.058013916,64.048576355,63.9511451721,88.4889891256,133.630655821,1.37119626617,
1000063,-68.3181381226,57.5409317017,65.7164154053,89.3214801581,139.894250644,1.38859514068,
1000064,-74.6956253052,50.173866272,67.5178222656,89.9825166152,146.110311602,1.40586197667,
1000065,-80.1424942017,42.1011276245,69.3517379761,90.5280305989,152.285779172,1.42301605326,
1000066,-84.6131057739,33.455947876,71.2170944214,90.9872415067,158.426201109,1.44007278086,
1000067,-88.0546722412,24.3586711884,73.1138839722,91.3617543919,164.536894276,1.45704692854,
1000068,-90.4028091431,14.9260263443,75.0418701172,91.6267109711,170.624714871,1.47395754131,
1000069,-91.5810241699,5.28375053406,76.9987106323,91.7333200518,176.697990965,1.49082775268,
1000070,-91.509475708,-4.42446899414,78.9786300659,91.6163744657,182.768086427,1.50768912896,
1000071,-90.1841278076,-14.0390701294,80.9739761353,91.2703259473,188.848283056,1.52457856404,
1000072,-87.6866149902,-23.4158916473,82.9815063477,90.7592773775,194.951420998,1.54153172499,
1000073,-84.0973968506,-32.4294586182,85.0019302368,90.1334673876,201.087530312,1.55857647309,
1000074,-79.4859008789,-40.9612579346,87.0382385254,89.4194223316,207.263289099,1.57573135861,
1000075,-73.909538269,-48.8906211853,89.0947418213,88.6166614527,213.484345611,1.59301207114,
1000076,-67.4188613892,-56.0831184387,91.1752853394,87.6961746305,219.755748179,1.61043263383,
1000077,-60.0670051575,-62.3828735352,93.2815551758,86.6006236646,226.083493655,1.6280097046,
1000078,-51.9465751648,-67.6473083496,95.407371521,85.2912949737,232.479231133,1.64577564204,
1000079,-43.2180137634,-71.8261642456,97.5372467041,83.8259779775,238.964554034,1.66379042787,
1000080,-34.0403518677,-74.9026412964,99.6591110229,82.2748517376,245.56004133,1.68211122592,
1000081,-24.5584449768,-76.8673858643,101.765022278,80.6951809545,252.281782149,1.70078272819,
1000082,-14.9069223404,-77.7066192627,103.849647522,79.1235427095,259.140540688,1.71983483525,
1000083,-5.21880483627,-77.3942565918,105.908531189,77.5700127454,266.142303973,1.7392841777,
1000084,4.36291885376,-75.8897323608,107.936317444,76.0150415295,273.290326267,1.75913979519,
1000085,13.686674118,-73.1900558472,109.928512573,74.4587759994,280.592078939,1.7794224415,
1000086,22.6116161346,-69.3557510376,111.885765076,72.9486489677,288.05719407,1.80015887242,
1000087,31.0084285736,-64.4597091675,113.813064575,71.5302505837,295.689942623,1.82136095173,
1000088,38.7520942688,-58.5781135559,115.718292236,70.2361744259,303.486453986,1.84301792774,
1000089,45.715637207,-51.7875022888,117.611320496,69.0786861381,311.436590859,1.86510164128,
1000090,51.7634735107,-44.1699523926,119.501914978,68.0473503104,319.525758043,1.88757155012,
1000091,56.7897186279,-35.8417205811,121.388221741,67.1543079486,327.742729015,1.91039646949,
1000092,60.7366371155,-26.9477519989,123.260246277,66.4463725563,336.074000943,1.93353889151,
1000093,63.5670928955,-17.6335201263,125.110328674,65.9675399817,344.495978364,1.95693327323,
1000094,65.256477356,-8.04103565216,126.932861328,65.75002731,352.97530841,1.98048696781,
1000095,65.7873687744,1.69054460526,128.723403931,65.8090862368,1.47201143263,2.00408892065,
1000096,65.1516113281,11.4220428467,130.480026245,66.1452607633,9.94374629168,2.02762151748,
1000097,63.357383728,21.0133209229,132.206222534,66.7511627544,18.3487900389,2.05096886122,
1000098,60.4213027954,30.3235626221,133.905807495,67.603641038,26.6506435008,2.07402956528,
1000099,56.3703842163,39.2100410461,135.581375122,68.6662037361,34.8216538687,2.0967268163,
1000100,51.2477226257,47.5294342041,137.233734131,69.8954661626,42.844221294,2.11901172582,
1000101,45.1220626831,55.1456031799,138.862258911,71.2533374015,50.7087679052,2.14085768863,
1000102,38.1088752747,61.9583206177,140.472579956,72.7400843309,58.4054596024,2.16223738778,
1000103,30.3308124542,67.8857269287,142.07383728,74.3534135381,65.9252813435,2.18312578151,
1000104,21.9015731812,72.8433761597,143.673675537,76.064685355,73.2657202921,2.2035158897,
1000105,12.9347734451,76.7436294556,145.277633667,77.8260433665,80.4329845138,2.22342495698,
1000106,3.55436325073,79.499382019,146.888046265,79.5787989324,87.4400495087,2.24288902641,
1000107,-6.09956264496,81.0391845703,148.50390625,81.2684077627,94.3043558254,2.26195654396,
1000108,-15.8695955276,81.3710479736,150.125671387,82.9041103356,101.035729264,2.28065480351,
1000109,-25.6088294983,80.5430679321,151.757492065,84.516258437,107.638166321,2.29899490645,
1000110,-35.183265686,78.5882263184,153.403991699,86.1044220711,114.117647493,2.31699346526,
1000111,-44.459526062,75.5261077881,155.069091797,87.6404154216,120.483804413,2.33467723448,
1000112,-53.2954902649,71.369934082,156.754776001,89.0734347235,126.750532265,2.35208481185,
1000113,-61.53515625,66.1375045776,158.459854126,90.3368416897,132.935493771,2.36926526048,
1000114,-69.0149230957,59.8710403442,160.179016113,91.3652071732,139.058079986,2.38627244441,
1000115,-75.6310119629,52.6994590759,161.906311035,92.180708163,145.131333541,2.40314259317,
1000116,-81.3324279785,44.781867981,163.639785767,92.8459990562,151.162693466,2.41989637074,
1000117,-86.0729980469,36.2552719116,165.380081177,93.397032791,157.158424937,2.43655118038,
1000118,-89.8000030518,27.2410583496,167.128890991,93.8409069015,163.124693119,2.45312414755,
1000119,-92.4480667114,17.8552837372,168.887680054,94.15655153,169.068574215,2.46963492837,
1000120,-93.9376983643,8.21991825104,170.656234741,94.2966501527,174.999131657,2.48610869905,
1000121,-94.179473877,-1.52515256405,172.431274414,94.19182231,180.92777294,2.50257714706,
1000122,-93.1280975342,-11.2163238525,174.205551147,93.8011112466,186.867609703,2.51907669362,
1000123,-90.8584594727,-20.6981925964,175.973327637,93.1862373664,192.833370471,2.53564825131,
1000124,-87.4635238647,-29.8402175903,177.733261108,92.413779236,198.838269971,2.5523285277,
1000125,-83.0268707275,-38.5261383057,179.486923218,91.5299109338,204.892248565,2.5691451349,
1000126,-77.6189498901,-46.6436195374,181.237609863,90.5556658945,211.002955357,2.58611932044,
1000127,-71.2991409302,-54.0726470947,182.989028931,89.4841810669,217.176362856,2.6032676746,
1000128,-64.1223678589,-60.6756248474,184.744018555,88.2791567158,223.41797425,2.62060548403,
1000129,-56.1563682556,-66.2992248535,186.502487183,86.8857002725,229.734935372,2.63815259825,
1000130,-47.5344200134,-70.8559265137,188.258361816,85.3234048086,236.143912847,2.65595531346,
1000131,-38.4150886536,-74.3165206909,190.006469727,83.6580198419,242.665022675,2.67406950743,
1000132,-28.9461212158,-76.6647720337,191.745361328,81.9473318932,249.315096661,2.69254193517,
1000133,-19.2654151917,-77.884727478,193.476318359,80.2320820921,256.106312563,2.71140642379,
1000134,-9.50768661499,-77.9516448975,195.202194214,78.5293260317,263.04603695,2.73068343597,
1000135,0.18500213325,-76.826789856,196.926132202,76.8270126021,270.137970374,2.75038325104,
1000136,9.65571308136,-74.4781265259,198.649490356,75.1014255918,277.386906505,2.77051918474,
1000137,18.7559089661,-70.9544448853,200.370773315,73.3915347306,284.806744749,2.79112984652,
