TL_r3_1 1-th Error Data(Formed-Set)
Theta, R, Z, 
0.0,-0.0302485410307,0.0,
0.0,0.00558056739725,0.751944664707,
0.0,-0.0571986042293,1.23288099405,
0.0,-0.0848743507884,1.16645029251,
-9.52161548384e-07,-0.0299019736696,0.607552271919,
0.0,0.0365920611896,-0.138598229565,
0.0,0.139797150924,-0.643253432698,
0.0,0.313233978949,-0.564224128352,
0.0,0.248191987684,0.0865433512232,
0.0,-0.211336661559,1.03068706809,
0.0,-0.74798228202,1.82719755698,
0.0,-0.908923472896,2.12731277435,
0.0,-0.409704390385,2.17386473465,
0.0,0.362698151765,2.5005761973,
0.0,0.711683047862,3.06550548461,
0.0,0.53717072939,3.53078242719,
0.0,0.0815996814366,3.71532718811,
0.0,-0.40034126591,3.5987385699,
0.0,-0.646676856255,3.29063306339,
0.0,-0.37089704762,3.14775450711,
0.0,0.183881317202,3.58204255445,
0.0,0.396876696625,4.43111972474,
0.0,0.131870697765,5.12157021087,
0.0,-0.287142258954,5.37588829344,
0.0,-0.553246129521,5.25331592259,
0.0,-0.512147015107,4.94446053324,
0.0,-0.0670047070186,4.75390390683,
0.0,0.485841559233,5.03448695677,
0.0,0.557938111192,5.65255855596,
0.0,0.109821181593,6.11171208514,
0.0,-0.435787984083,6.20672399635,
0.0,-0.704859807269,6.10983365628,
0.0,-0.52201290962,6.19530497084,
0.0,-0.11762123615,6.71801329488,
0.0,0.063469625016,7.54194114277,
0.0,-0.0484115777596,8.07029599741,
0.0,-0.10687720588,8.0635388721,
0.0,-0.0335405576487,7.59772338051,
0.0,-0.00205424715107,6.9061700298,
0.0,-0.0622682782875,6.41946534742,
0.000433599992118,-0.0631032069378,6.3758094819,
